TimeStamp,	CaseID,	Evaluated,	ObjFunVal,	ReaVarID,	ReaVarVal,	ReaVarID,	ReaVarVal,	ReaVarID,	ReaVarVal

2017-03-20T12:57:15,	{43d4df88-f380-416a-a224-b98470be3b9a},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{4bf7cf85-97da-4c2f-91da-1a172b7a1c2a},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2100,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{3c7b4524-aaed-4cec-9315-aaec9764f289},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2100,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{cf3887af-caf0-4742-bd6b-260112893d93},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2100
2017-03-20T12:57:15,	{ff67f5c1-22b5-4d1d-b76f-379dddbcf4ad},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	1900,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{402d6e46-27fe-4075-bef3-020a77445e8f},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	1900,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{2439f9a1-6cc2-4138-9b5d-35c6b2d23b16},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	1900
2017-03-20T12:57:15,	{0cc08e4f-74ca-4f89-9ffb-f42ebe6cfc4f},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2050,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{e0e887bf-cc0c-4482-889b-6270d393af2d},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2050,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{ac0358bc-9528-4da9-92f5-c69104372b8b},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2050
2017-03-20T12:57:15,	{8c7e030e-98ca-46dc-81d3-6a717bd2b3da},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	1950,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{e0361d07-1c30-4685-9060-6dba45c63d4b},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	1950,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	2000
2017-03-20T12:57:15,	{183c40a0-23a0-46b4-a98c-ab39625b229a},	true,	-0.238407,	{8e1e72c5-dd4b-4da9-9f21-d52c47327816},	2000,	{6f2aaa79-81bf-4a10-a127-206d8727ece1},	2000,	{690460e0-c74b-4328-9aa7-fcc6201fad38},	1950
